order_id,customer_id,product_id,quantity,order_date,order_time,payment_method,order_status,shipping_city,discount_percentage
ORD-00001,14,8,1,17/04/2026,,cod,cancelled,Naga,0
ORD-00002,1879,1,2,11/06/2026,3:03:08,credit_card,completed,Huanza,0
ORD-00003,604,11,2,02/02/2026,13:59:30,e-wallet,completed,Hatton,0
ORD-00004,1391,10,4,07/01/2026,4:05:04,e-wallet,completed,Marapanim,0
ORD-00005,56,4,3,01/02/2026,23:23:58,e-wallet,completed,Planeta Rica,0
ORD-00006,470,7,3,27/01/2026,22:47:38,bank_transfer,pending,Kaka,0
ORD-00007,795,15,5,02/03/2026,0:38:49,e-wallet,pending,Gambiran,0
ORD-00008,1432,12,2,09/05/2026,12:34:57,cod,pending,Xiping,10
ORD-00009,351,12,5,06/02/2026,13:48:04,cod,pending,Degerfors,0
ORD-00010,1924,8,2,21/03/2026,13:43:13,,cancelled,Uddevalla,0
ORD-00011,330,11,3,19/05/2026,12:50:39,bank_transfer,refunded,Binonga,10
ORD-00012,759,14,1,06/01/2026,8:31:54,bank_transfer,refunded,Hudson Bay,15
ORD-00013,221,5,5,21/01/2026,22:13:23,e-wallet,pending,Furong,15
ORD-00014,1702,12,3,01/06/2026,11:24:44,cod,completed,Norrköping,0
ORD-00015,426,1,2,25/05/2026,2:07:10,bank_transfer,pending,Jiangfeng,15
ORD-00016,1369,3,2,26/06/2026,15:34:23,bank_transfer,refunded,Kunčice pod Ondřejníkem,0
ORD-00017,1529,12,6,12/01/2026,1:22:39,bank_transfer,cancelled,Borda da Mata,0
ORD-00018,1749,2,4,29/04/2026,8:35:28,cod,cancelled,Blachownia,0
ORD-00019,349,4,2,24/04/2026,16:58:24,e-wallet,pending,Ngasinan,0
ORD-00020,284,9,2,12/05/2026,5:28:02,bank_transfer,pending,Banjar Jabejero,0
ORD-00021,577,18,1,20/02/2026,23:56:11,e-wallet,completed,San Juan,10
ORD-00022,1821,11,1,26/02/2026,19:27:19,e-wallet,cancelled,Canoinhas,0
ORD-00023,1860,12,3,17/04/2026,20:06:28,e-wallet,refunded,Kelodan,0
ORD-00024,1037,20,1,22/02/2026,7:00:04,bank_transfer,pending,Balungkopi,0
ORD-00025,44,6,4,,6:08:51,credit_card,completed,Salinggara,0
ORD-00026,430,11,1,08/06/2026,12:02:56,,refunded,Shuangpengxi,0
ORD-00027,713,2,3,20/06/2026,3:31:56,cod,completed,Kondrovo,0
ORD-00028,949,9,2,13/06/2026,14:18:32,e-wallet,cancelled,Chuanbu,10
ORD-00029,446,5,2,05/03/2026,8:56:12,e-wallet,completed,La Guata,0
ORD-00030,400,8,4,30/04/2026,1:25:10,credit_card,refunded,Tuanjie,0
ORD-00031,751,9,5,04/02/2026,,e-wallet,cancelled,Dongdai,10
ORD-00032,924,8,1,01/05/2026,13:48:31,e-wallet,cancelled,Boroko,0
ORD-00033,1041,9,2,24/02/2026,8:23:19,e-wallet,cancelled,,0
ORD-00034,439,11,1,26/02/2026,,bank_transfer,cancelled,Guri i Zi,0
ORD-00035,119,12,2,15/01/2026,6:05:59,bank_transfer,pending,Spandaryan,0
ORD-00036,1553,9,1,20/02/2026,14:46:56,bank_transfer,completed,Naguilian,0
ORD-00037,817,19,2,27/01/2026,23:46:51,credit_card,pending,,0
ORD-00038,760,7,2,01/03/2026,18:59:09,e-wallet,completed,Uzlovaya,10
ORD-00039,1428,3,1,24/05/2026,14:13:31,bank_transfer,pending,Dolati,30
